id,street,status,price,bedrooms,bathrooms,sq_ft,lat,lng
3030,156 2nd Ave,active,155783,2,3,3027,33.45350463404173,-112.1954061977608
3031,195 9th Pl,pending,218347,3,3,2481,33.42771723462168,-112.0642842253527
3032,734 9th Dv,pending,218379,3,1,1823,33.38769725944466,-112.16674773800452
3033,669 Page Way,active,154386,5,3,3270,33.4644734294871,-111.91874441098318
3034,240 8th Wl,sold,287232,3,3,2478,33.36340921556154,-111.89766143193867
3035,511 8th Ave,sold,139265,5,3,3723,33.47343886959042,-112.07984293770707
3036,498 8th Trl,pending,271204,4,1,2518,33.47897018639263,-111.9339615430293
3037,224 4th Wl,pending,147583,3,1,3622,33.44420353102083,-111.8739508064088
3038,375 Indiana Wl,active,130422,4,2,2714,33.465669130751905,-112.05349597147232
3039,157 9th Blvd,pending,152493,5,1,1142,33.42244020035748,-112.14149547277226
3040,142 Bush Vis,active,284027,4,2,2413,33.58548971881359,-112.14047810000912
3041,17 Walnut Vis,active,296305,4,1,1634,33.57799571247594,-112.3554459286254
3042,684 4th Ave,sold,149149,4,1,3901,33.49502236556665,-112.1787290744816
3043,242 5th Dv,active,245789,2,1,2512,33.40455106581568,-112.30605485685265
3044,406 Sutter St,active,178640,5,3,2271,33.441171106889364,-112.05185339101959
3045,30 1st Pl,active,276856,5,2,1829,33.51757533966025,-112.1338712090361
3046,206 7th St,sold,141298,2,3,3669,33.53152336643041,-111.96006835049684
3047,395 Blake Pl,active,235507,4,1,2827,33.44629384012415,-111.88957810796127
3048,509 7th Rd,sold,219412,5,2,3153,33.54458937137934,-112.13236071274679
3049,183 Bush Way,active,158612,4,1,2089,33.38553137386108,-112.26544176149625
3050,509 Blake Pl,sold,116479,2,2,2627,33.47634253510251,-112.31799701270695
3051,673 Post Wl,active,234879,5,1,2783,33.46720774837255,-112.31632741413613
3052,205 7th Vis,active,203204,2,1,3754,33.412573568445936,-112.09018256020379
3053,755 Texas Cir,pending,122406,4,2,3003,33.41919343004216,-112.11565343224521
3054,417 7th Dv,pending,128656,2,3,2575,33.5547635154264,-112.07738455820424
3055,128 Mission St,active,253610,4,2,3395,33.461809993729034,-112.23342688265669
3056,687 Indiana Blvd,active,146218,5,3,2945,33.36359479400748,-112.22594724312371
3057,554 Walnut St,pending,271202,2,1,2517,33.586728844479254,-112.05805564921603
3058,315 Geary Rd,sold,124842,2,1,1260,33.45321870997763,-112.12217029083975
3059,542 Geary Rd,active,192704,5,1,2942,33.536242726995845,-112.25255442581397
3060,259 Walnut Rd,pending,291383,3,1,3918,33.54384370627637,-112.29234600017523
3061,40 Mission Way,active,148415,4,2,2805,33.48887346109705,-111.91966482452275
3062,350 Walnut Wl,sold,266413,5,2,1244,33.41975895294052,-112.04161013746894
3063,786 8th Vis,pending,263882,4,3,1113,33.4793790611024,-112.09072103130639
3064,299 Page Dv,pending,221982,5,3,3987,33.43493434551058,-112.09049194589186
3065,422 Walnut Way,sold,131528,2,1,2008,33.42576822671404,-112.00844945891568
3066,13 Wall Cir,sold,258671,4,1,2020,33.50641001225482,-112.27548059267957
3067,703 7th Trl,active,189891,4,1,2618,33.56768270848882,-112.06917352112724
3068,376 Mission Cir,sold,258206,5,3,2258,33.410668352556435,-112.16433113665637
3069,557 4th Trl,pending,277752,4,3,3609,33.3717117900737,-112.1898779017895
3070,653 7th Vis,pending,290118,2,2,1688,33.56596493946921,-112.22248575539176
3071,778 Indiana Pl,sold,242335,3,1,1605,33.375437136986534,-112.2453554592064
3072,753 Sutter Wl,sold,134838,5,1,3572,33.47130195607507,-112.31502645550333
3073,780 Wall Ave,active,274514,3,1,3945,33.48334894249472,-112.14229257526516
3074,708 8th Trl,sold,194582,4,3,1823,33.384311650790195,-111.9461014550352
3075,505 Page Wl,pending,116428,3,1,2364,33.409177487057555,-112.19531867262361
3076,653 3rd Ave,sold,245210,4,2,1345,33.562833145283314,-112.33734749625997
3077,207 Geary Ave,pending,165807,5,2,2421,33.48192434551706,-111.91985433968262
3078,526 California Trl,active,211206,5,3,3691,33.37393094511435,-112.03118622610862
3079,767 8th Ave,pending,244628,2,1,3087,33.56173316595222,-112.28680882695691
3080,372 Indiana Pl,pending,288553,4,2,2814,33.526811047410796,-111.95384158994618
3081,303 Bush Blvd,active,210090,3,1,1728,33.39544614286041,-112.09448202188528
3082,79 Walnut Wl,sold,218755,3,1,2124,33.555416565874744,-112.32175614593613
3083,133 California Dv,active,129721,3,3,1253,33.57900374857055,-111.88789790160695
3084,117 Bush Dv,pending,183364,3,2,2659,33.489487211644104,-112.05879915705852
3085,248 Indiana Dv,active,274676,5,2,3250,33.44077206817603,-111.99846209997122
3086,282 Geary Blvd,active,277406,4,2,1999,33.52351591871933,-112.23690868113368
3087,237 California Vis,sold,220076,4,3,3201,33.51449791366913,-112.08746426916383
3088,35 7th Cir,pending,168800,5,1,2630,33.563712308755235,-112.0892424302918
3089,136 Page Rd,active,146324,3,1,3116,33.39830432753979,-112.2774223988803
3090,639 Post Trl,sold,267137,4,3,1487,33.53164049437711,-111.96554844820628
3091,635 6th Wl,active,108603,3,1,2793,33.434065995396914,-112.16936243970241
3092,216 Turk Pl,pending,109868,2,1,3977,33.38071944849251,-112.05145689448759
3093,651 Page Pl,pending,163011,3,1,1002,33.37018264603674,-112.23164248125906
3094,480 Bush Cir,active,188450,3,2,2752,33.469265453427404,-111.92818570773495
3095,568 Post Dv,active,297576,5,2,1431,33.562184621641556,-112.00672532563027
3096,633 Page Trl,active,153567,4,3,3050,33.51916690450417,-112.32692117445254
3097,746 Texas Trl,active,195601,2,1,1800,33.389903902082835,-112.31031466815413
3098,367 Texas Rd,active,151572,3,1,3879,33.39957983175699,-111.925019076674
3099,519 Indiana Ave,pending,107939,3,3,1726,33.456019215915646,-112.31587417996006
3100,30 1st St,pending,202750,2,3,2731,33.55408864264961,-111.96285179610605
3101,765 Turk Blvd,pending,149860,2,1,3518,33.37140461953015,-112.14322569080902
3102,208 Page Ave,sold,102682,2,2,3263,33.4123060604903,-111.97458144302657
3103,388 3rd Rd,pending,206331,3,3,1152,33.42746641595499,-112.16764496188287
3104,213 Euclid Pl,pending,280981,4,3,3416,33.55730070759229,-112.15964301550682
3105,26 Pine Pl,active,219887,5,2,3637,33.429453093699664,-112.1469682299229
3106,247 Turk Wl,sold,249578,2,1,2114,33.40868192076824,-112.28732547600443
3107,133 6th Rd,sold,141647,5,2,3156,33.38719374049858,-112.06767358325727
3108,379 Bush Vis,pending,189183,3,1,3913,33.4119489958861,-112.0004634365648
3109,150 Euclid St,sold,226665,2,2,2349,33.44933152556575,-112.00866426790387
3110,273 Geary Rd,pending,130406,5,3,2988,33.44608826352848,-112.08297029824777
3111,266 Page Pl,pending,174584,2,3,2230,33.5688338137192,-112.20432282605023
3112,261 Geary Wl,active,249396,2,1,2253,33.581557004385566,-112.01915242306781
3113,134 5th Pl,sold,286359,5,1,2647,33.49903015991736,-112.2303128875629
3114,127 Turk Cir,pending,290501,5,3,2992,33.398599614363555,-112.24868131984378
3115,369 2nd Pl,sold,222998,5,2,3599,33.58295730208321,-112.26424461888594
3116,337 Turk Vis,sold,200448,2,3,3746,33.5172962586329,-112.18699232687757
3117,269 Franklin St,sold,222087,3,3,3617,33.566249147171895,-111.89442647275347
3118,334 8th Trl,sold,162778,5,1,2850,33.472833687224586,-111.96156866586618
3119,527 Blake St,pending,225757,4,3,3133,33.411206244520415,-112.03015115107961
3120,368 2nd Dv,pending,170955,5,2,2147,33.40389405684991,-112.067239902739
3121,130 Mission Trl,active,234907,3,3,1517,33.4190275738714,-112.19266566109074
3122,331 Wall Way,active,154028,5,1,1269,33.440346564647385,-112.2652814078366
3123,310 Blake Vis,pending,290997,2,2,3647,33.570572971784,-112.08003771076821
3124,132 Pine Wl,sold,151077,2,1,3039,33.500962408250466,-112.25293199966286
3125,463 Post Trl,active,284177,4,2,2205,33.453041353701536,-111.96757499471337
3126,581 3rd Trl,sold,190024,5,3,1141,33.56511070835983,-112.09958985038315
3127,117 Mission Dv,sold,264756,4,3,1550,33.49736540907931,-112.21710693661753
3128,512 5th Way,pending,118988,4,1,2724,33.49155798298622,-112.20681892078422
3129,679 Geary Pl,pending,165398,5,3,3849,33.40315099034551,-112.36031650164314
3130,135 Post Pl,sold,251551,5,1,2522,33.44353647414243,-111.99335501148182
3131,203 Turk St,sold,217959,2,3,2732,33.41492120522384,-112.00182294411401
3132,706 5th Vis,sold,134499,5,3,3847,33.37690890286107,-112.16214234077083
3133,611 California Trl,sold,267400,3,2,2240,33.50213000061289,-112.27572100952521
3134,43 Euclid Blvd,active,175077,5,2,3930,33.56846494752214,-112.27756589249638
3135,456 7th Way,active,161454,3,2,1420,33.517468197294555,-112.18931256220876
3136,401 Page Blvd,pending,229332,2,3,2526,33.42818483659453,-112.19749468661216
3137,419 3rd Way,pending,239231,5,1,1209,33.423839826626406,-111.96150312273748
3138,639 Indiana Rd,active,245377,3,2,2390,33.41555875370285,-111.96683173273244
3139,202 Pine Dv,active,278548,3,3,3722,33.59395550628282,-111.91831241087507
3140,674 Wall Ave,active,292106,5,3,2138,33.39898575643239,-112.06480214235641
3141,109 Blake Ave,sold,165318,2,3,3250,33.44200067225234,-112.18619609973567
3142,79 Post St,pending,281694,2,2,3650,33.59303320649484,-112.01472417270288
3143,564 9th Rd,active,192395,2,3,2204,33.466748576825026,-111.95530633793835
3144,555 4th Vis,active,146907,5,2,2614,33.43632964896463,-112.25748488436894
3145,500 Indiana Way,active,231299,3,1,3286,33.406638503360014,-112.32230222177495
3146,46 4th Way,sold,119401,5,3,2288,33.58171635350341,-112.07875573907697
3147,406 Mission Trl,active,112003,2,1,2580,33.561753420053286,-112.10834469577584
3148,151 8th Ave,pending,258586,2,3,3847,33.426678343704836,-112.00920762532029
3149,633 9th Way,sold,227627,5,1,1302,33.37393132230934,-112.23987919560469
3150,729 Post Pl,pending,121868,2,3,3694,33.58185833558904,-112.03469324231924
3151,675 2nd Ave,pending,289963,5,1,1990,33.45730284016266,-112.2199542281098
3152,297 Indiana Vis,pending,189233,4,2,1778,33.46191462513468,-111.88339788596953
3153,502 Franklin St,sold,289680,3,1,3504,33.5843442261027,-112.05718165736981
3154,95 Walnut Blvd,sold,292363,3,3,2231,33.52391524436178,-112.14229095419707
3155,370 Turk Cir,pending,217847,2,3,2555,33.50638933649478,-112.18522182054558
3156,644 Wall Pl,pending,115656,2,1,1574,33.4632540363181,-112.16039062660694
3157,636 Indiana Rd,active,208391,5,1,1923,33.42384014820371,-112.15438264172154
3158,690 8th St,pending,120323,2,1,1419,33.4941312438953,-112.09455625590176
3159,581 Wall Cir,active,156468,5,3,2752,33.59216895134057,-111.8874254725428
3160,13 3rd Way,pending,117020,4,3,3301,33.53968703225969,-112.28233581563988
3161,579 6th Cir,pending,180206,5,3,3373,33.45502089311329,-112.27770818447476
3162,490 Walnut Wl,pending,113369,3,3,2450,33.52444430017704,-112.09427543877116
3163,79 3rd Way,active,146452,5,1,1091,33.519115750728574,-112.27630098252038
3164,244 9th Pl,pending,198154,5,1,3962,33.49045095278962,-112.20066349830532
3165,772 Texas Vis,sold,103662,3,2,2324,33.475564072583936,-112.03913000798288
3166,378 Mission Way,sold,213686,3,1,3224,33.49375799931532,-111.88351288964174
3167,270 Sutter Cir,active,281281,4,1,3985,33.540068278333116,-111.94447286680322
3168,750 Turk Way,active,127064,3,3,2948,33.521119438573436,-111.97777961733874
3169,124 Geary St,pending,193779,4,1,1989,33.454241559037705,-111.89824676993123
3170,732 Texas Rd,sold,199487,3,3,3824,33.459807021200014,-111.99824023026845
3171,200 Wall Way,pending,159143,2,3,2626,33.44805318179672,-112.17607981536125
3172,246 Wall St,sold,161030,2,3,3561,33.43507973888435,-112.18846966876302
3173,440 Page Wl,pending,228041,3,3,1528,33.52696726002771,-112.06689817802021
3174,107 8th Pl,active,132308,5,1,2356,33.506466942280234,-112.1937331311131
3175,73 5th Cir,sold,156662,5,2,1913,33.444514974958594,-112.07125797419523
3176,776 Sutter Cir,active,259214,2,2,3983,33.51980620702054,-112.05304225497754
3177,404 9th Way,sold,222325,2,3,2043,33.49220334951586,-112.13413551712924
3178,254 6th Way,active,257083,4,3,1367,33.42957668977335,-112.30908098541124
3179,583 4th Pl,active,171629,3,2,1574,33.506990497443965,-112.29677434255947
3180,800 California St,pending,170938,3,3,1672,33.53360085800587,-112.16135295566386
3181,182 Texas Dv,sold,204001,3,2,2758,33.42487198507729,-111.93829645572264
3182,56 Euclid St,sold,150178,5,1,3269,33.38209412682803,-112.20243569474755
3183,44 3rd Dv,active,160077,4,1,1050,33.392389491263266,-112.26624536407112
3184,59 Indiana Rd,sold,294191,4,1,2695,33.4649137863093,-111.97417350796218
3185,112 Page Vis,pending,109737,5,3,3481,33.58877195768359,-112.29797607328065
3186,474 9th Blvd,sold,144499,3,3,1462,33.50140329877011,-112.09401896620636
3187,325 California Wl,sold,264851,4,2,3619,33.409506959266366,-112.06584990929346
3188,328 6th Wl,active,205767,3,3,3973,33.40043145322634,-112.08385767326861
3189,162 7th Rd,sold,230165,3,2,3257,33.589674522086426,-112.35707523849324
3190,668 Wall Way,pending,210376,4,2,2504,33.485334530929165,-112.1222581739091
3191,283 Sutter St,active,280020,2,2,1022,33.45935587707259,-112.23593098610426
3192,420 Bush Rd,pending,297640,4,2,1025,33.49994583062663,-112.316733573501
3193,14 Post Pl,pending,125918,2,1,1711,33.58361798243092,-112.16684165015587
3194,389 Texas Cir,sold,179615,5,1,3633,33.45276654342803,-112.33995456206146
3195,608 Post Dv,active,153951,2,1,1430,33.397892895317916,-112.22835822519124
3196,571 Post Pl,sold,238385,4,2,1276,33.514347490596805,-111.96134815211092
3197,510 Page Way,sold,292823,3,2,2107,33.50031723354918,-112.2948330584879
3198,790 4th Pl,active,212399,5,3,2386,33.5842336743473,-112.25931892436847
3199,333 California Blvd,pending,196539,5,2,1081,33.482174536358826,-111.8827066889327
3200,441 Geary Blvd,pending,179045,4,1,1544,33.51041818227455,-111.95686458562376
3201,10 Post Rd,pending,231414,5,1,1181,33.41668122212908,-112.29900384953866
3202,453 5th Vis,pending,202805,5,3,3298,33.37373551018272,-111.96888270978984
3203,126 Turk Ave,active,210234,3,2,1972,33.409539876902215,-112.17218427951448
3204,132 1st Cir,sold,201431,5,3,2540,33.569299953205416,-111.97766551641186
3205,87 Sutter Blvd,active,183186,3,1,1523,33.43703662349085,-112.0345733207014
3206,458 California Trl,sold,153024,4,2,1689,33.49740110235351,-112.13448459742725
3207,326 Geary Blvd,active,228813,4,1,1150,33.574742760252846,-111.99149623181422
3208,543 Page St,active,286035,2,1,3227,33.461714615489534,-112.02317352475582
3209,70 Texas Wl,active,157621,4,1,3219,33.429785266587395,-112.12420296441239
3210,665 6th Wl,pending,169618,4,1,2795,33.558745636366844,-111.9886537355431
3211,572 Pine Ave,sold,174565,4,1,3064,33.48187807159049,-111.89722338946301
3212,500 Turk Trl,sold,242252,4,1,3743,33.408920428884024,-111.95815017116524
3213,364 Texas Rd,sold,123240,4,1,1577,33.57415769750272,-111.99291820974433
3214,696 Mission Pl,sold,228144,2,3,3174,33.53769581760333,-112.15691871181794
3215,557 Blake Cir,sold,251429,3,1,2618,33.48387259301545,-112.23177189033457
3216,208 7th Pl,active,174007,4,1,3843,33.37106385553047,-112.1994974576619
3217,603 Texas Dv,pending,264677,5,1,2713,33.518476591495165,-111.87976563285002
3218,600 Geary Blvd,pending,235008,2,1,1316,33.44862460440387,-112.32261193306374
3219,239 8th Way,sold,298084,5,1,1148,33.45864477728483,-111.94746604360824
3220,96 Franklin Way,active,108757,2,3,3621,33.57749409087021,-111.90178584473377
3221,61 Franklin Dv,active,107343,5,3,1481,33.425393360716576,-112.1120485502656
3222,763 Bush St,sold,220434,3,2,3837,33.50601980642858,-112.07530828593963
3223,300 California St,sold,246025,4,2,1044,33.55343401968519,-112.34560325327075
3224,192 Geary Wl,active,141787,4,1,3919,33.55273104481024,-112.05338658968576
3225,493 Wall Blvd,pending,107719,3,2,3115,33.428639233499005,-112.34951185852252
3226,122 9th Rd,sold,291866,2,3,1325,33.36683172584672,-112.22073900885925
3227,521 Walnut Rd,active,244549,2,2,2380,33.49869204048337,-112.07499989723694
3228,297 8th Blvd,sold,285772,2,2,2914,33.51406272756895,-112.26385632064836
3229,476 3rd Ave,active,252057,3,2,1884,33.473358225943905,-112.0653322450112
3230,64 Geary Way,pending,171792,2,2,1880,33.454483379466424,-112.21787099237923
3231,687 Euclid Trl,sold,133136,2,2,2324,33.496267665241064,-112.17033249218112
3232,86 Pine Way,active,165702,5,3,2340,33.45003695708461,-112.146465477927
3233,448 6th Cir,pending,239416,4,2,3313,33.37665832265238,-112.05677129840403
3234,564 Wall Ave,sold,291767,3,3,3780,33.49943215113883,-112.29853803828202
3235,793 1st Cir,sold,228799,2,3,2514,33.587267954232225,-112.16158143355605
3236,484 California Wl,sold,138728,4,1,1688,33.41118796852406,-111.88598379352547
3237,160 California Trl,pending,260473,5,1,3388,33.50433274895925,-112.31614913300173
3238,412 Page St,pending,285851,4,1,3076,33.45941227334267,-112.01806346406413
3239,37 Bush Cir,pending,280820,4,3,3083,33.593121400504145,-111.97367652113007
3240,80 Indiana Dv,active,163047,5,1,3212,33.45034895351922,-112.35660286719633
3241,596 Indiana Dv,active,138318,2,1,2743,33.369141725997345,-112.25938868098929
3242,147 2nd Cir,active,194242,5,2,2960,33.48284848003993,-112.08958092238875
3243,81 6th Blvd,active,205234,3,2,3918,33.42294980341991,-112.128474608801
3244,626 Walnut Trl,sold,238058,3,1,1471,33.53692171445789,-112.35995223849979
3245,648 Blake Blvd,sold,286837,4,3,1328,33.56266771920194,-112.14987112514065
3246,410 Turk Wl,sold,100461,4,3,2844,33.50751519359363,-112.04384161088632
3247,717 Texas Rd,active,115004,4,1,3522,33.38444214930369,-112.2708530016383
3248,547 Blake Blvd,pending,138195,4,3,1768,33.46105129952318,-112.01410737804264
3249,308 Bush Dv,active,229926,3,2,1245,33.58846450819813,-111.98330520460536
3250,66 Walnut Dv,active,287942,2,1,2877,33.56974157164244,-112.06549585528151
3251,194 3rd Blvd,pending,260828,5,1,2775,33.57127556340362,-111.89643771486223
3252,179 1st Way,pending,272509,5,3,1214,33.49233928928193,-112.29792055791329
3253,709 Indiana Pl,sold,136626,2,1,1440,33.397972087880596,-111.88082071593321
3254,269 6th Cir,sold,240110,4,1,3010,33.39595080461722,-112.09785971889426
3255,206 9th St,pending,175801,5,3,2459,33.491086906369176,-112.01543512009472
3256,41 Franklin Pl,sold,275839,2,2,2533,33.3840004979583,-112.27851783067635
3257,460 Page Cir,sold,140556,2,3,1933,33.394112328273295,-112.03110717243321
3258,559 7th Blvd,active,283071,2,2,2543,33.50075792723859,-112.24890865907741
3259,339 Post Blvd,pending,142159,2,3,2505,33.569200002573986,-112.03510074871373
3260,545 7th Blvd,active,177018,4,1,1116,33.58228564823056,-112.16532380742053
3261,36 7th Trl,pending,160372,2,2,1121,33.54741726394908,-112.02372137800579
3262,174 Turk St,sold,200831,3,3,1143,33.464365135905986,-112.05815585370627
3263,203 Post Blvd,active,157079,2,1,2891,33.41277577901062,-112.26705983780478
3264,238 Euclid St,sold,273811,4,1,2867,33.451201509621136,-112.0526668920705
3265,423 8th Pl,sold,201896,5,1,2912,33.49342139134601,-112.32044523149787
3266,762 Post Blvd,active,113212,5,3,3730,33.543291929033415,-112.36148603270384
3267,122 3rd Blvd,sold,134968,2,2,2311,33.59057773816984,-112.16889402661728
3268,375 Euclid Way,sold,149395,2,2,2605,33.39686399914647,-112.36142235998624
3269,453 9th Wl,pending,244224,3,3,2934,33.572931555908774,-111.88846139068704
3270,329 8th Dv,sold,238098,5,1,2002,33.54808298670087,-112.12416577231659
3271,106 California Rd,pending,123196,5,3,2233,33.43344684101007,-112.10956501764134
3272,544 Texas Cir,sold,220628,4,3,3822,33.50758352277032,-112.2367238289402
3273,385 6th Way,sold,241964,2,2,2513,33.551789764949376,-112.0440867733067
3274,769 Geary St,sold,290018,4,2,2395,33.5091283030967,-112.07970056258682
3275,233 Franklin St,active,197568,4,2,1258,33.59040771023811,-111.92502055795404
3276,747 Euclid Vis,pending,288392,5,2,3494,33.452726703588326,-112.2981929507815
3277,181 Texas Pl,active,223136,5,2,3463,33.477471919037995,-112.25686217744774
3278,189 8th Wl,sold,228022,2,2,3554,33.43902444154269,-111.92171844939158
3279,486 Texas Cir,active,230208,2,3,3168,33.53746057550898,-112.17551867800012
3280,303 Euclid St,sold,180726,5,2,1351,33.51244182304118,-112.35093609736843
3281,441 Walnut Vis,pending,120973,5,1,1901,33.368711201131894,-112.13402454791662
3282,451 Franklin Cir,sold,245496,2,2,1363,33.567746418220864,-111.97262977967289
3283,699 8th Pl,sold,235370,3,3,2955,33.461643217261155,-111.91983992336566
3284,771 California St,sold,125947,4,1,3314,33.36434334381017,-112.17981271640517
3285,224 Euclid Way,sold,155345,2,2,1662,33.481180240120764,-112.05107426451612
3286,464 Wall Blvd,sold,183897,3,1,2721,33.57899389069157,-112.28488461463856
3287,796 Bush Rd,active,189870,4,2,1232,33.540347055575,-112.05944054787899
3288,609 Pine Ave,active,178465,5,2,2287,33.477399759346056,-111.8956308526973
3289,409 8th Ave,pending,243291,2,3,1528,33.47739809075243,-112.14872699185759
3290,258 Walnut Cir,active,101683,4,2,3922,33.41552648596388,-112.17685935712657
3291,547 2nd Vis,pending,265328,5,1,1818,33.592845925068545,-111.9281209724673
3292,227 Mission Trl,pending,104808,3,1,2093,33.44810544892992,-112.21836297379862
3293,460 Franklin Dv,active,258783,2,1,1952,33.57377457575372,-112.09909994210695
3294,614 Wall Rd,active,207496,4,3,3474,33.430880715592465,-112.32257822058727
3295,126 Sutter Rd,pending,175531,5,2,3051,33.42516574827193,-112.09991149601547
3296,125 Post Wl,pending,161811,4,1,2209,33.44604774263156,-112.2341667807598
3297,55 Page Dv,pending,245777,4,1,2854,33.582044162224825,-111.9474215190173
3298,652 4th Vis,sold,107327,5,1,2922,33.43129581945891,-112.07781019710372
3299,676 5th Pl,sold,160199,5,2,3079,33.430050194788706,-112.01430766331818
3300,263 Page Trl,sold,184769,4,3,3921,33.44379853264351,-112.27756588275152
3301,524 5th Blvd,active,122753,4,1,2162,33.36751612853295,-112.09908350364302
3302,257 Walnut Vis,pending,294623,5,1,3741,33.46309727384672,-112.08326753283814
3303,368 6th Cir,pending,257460,4,1,1559,33.49569611985624,-112.32811683238751
3304,538 Euclid Vis,active,115369,5,2,3553,33.49416223963161,-112.03673665914187
3305,798 Indiana St,pending,293996,5,1,3617,33.423541486470846,-112.28616999526915
3306,583 Post Trl,sold,145433,4,3,3881,33.50309173792149,-112.18534771167853
3307,173 Post Wl,active,126959,4,3,2464,33.52484323387366,-112.14502555405963
3308,643 Euclid St,active,220542,5,1,3213,33.56109560157728,-112.17743411859784
3309,381 Texas Ave,sold,265671,3,1,3015,33.54560902734917,-112.19636617686986
3310,402 Wall Pl,sold,243239,4,2,3362,33.364511455778455,-112.18899277804854
3311,720 7th Dv,sold,129341,5,1,2824,33.40652758537512,-112.18814558953726
3312,62 California Blvd,pending,257040,3,3,3470,33.408060718139154,-112.11147423509908
3313,245 8th Trl,active,102819,3,2,1748,33.37823696077656,-111.90455322365791
3314,694 Geary Way,active,135245,2,2,3188,33.47399403512976,-112.09398505818005
3315,699 9th Rd,pending,150989,4,1,3057,33.56215404440095,-112.30592261332457
3316,213 3rd Ave,sold,169960,5,1,1948,33.464874768750704,-112.19893916307926
3317,686 Turk Wl,pending,291623,4,2,3844,33.4968661368741,-112.0228330725692
3318,587 Franklin Wl,pending,192380,5,1,1645,33.38081757342496,-112.25714031127369
3319,662 Bush Rd,active,255490,2,2,1241,33.51708711260062,-112.16801129394828
3320,98 Geary Pl,pending,146024,5,3,3956,33.41747686399836,-112.12191519307017
3321,575 Page Pl,active,236599,4,2,1658,33.49854987161467,-111.96722398374604
3322,126 7th Vis,pending,245592,2,3,2130,33.4533763280571,-112.11833733148119
3323,448 Turk Cir,pending,167710,5,2,1452,33.38671199517555,-112.20648156195361
3324,578 Sutter Wl,sold,161134,3,1,1177,33.49219325140438,-112.0086860970267
3325,294 7th Ave,sold,173417,3,1,2095,33.39048194410982,-112.1085266520217
3326,677 5th St,pending,195517,3,3,2205,33.461503438055566,-111.97221403479148
3327,224 Geary Pl,active,102738,5,1,3459,33.5837974217556,-112.21864881756913
3328,750 Pine Trl,pending,215038,5,3,3104,33.5680946274254,-112.15367520090986
3329,502 1st St,pending,216197,5,2,1578,33.582236228452686,-112.16241956756436
3330,354 Mission Blvd,active,112767,4,1,2258,33.51918592002269,-112.00076789008992
3331,45 Indiana Pl,pending,251386,5,2,3823,33.40956825349231,-112.16544040627646
3332,385 Pine Trl,active,163191,2,1,3800,33.53473606373424,-112.2462060137273
3333,701 Mission Trl,sold,107622,4,1,2064,33.57241827817945,-111.99222459156475
3334,262 5th Wl,active,237594,4,1,3755,33.454702578950354,-112.0170588013888
3335,635 California Rd,sold,139133,2,2,1106,33.43602737214635,-112.2518158648738
3336,504 2nd Ave,sold,156433,3,1,2259,33.453576628903306,-111.96855507362672
3337,742 5th Rd,pending,191389,3,3,2414,33.3916625189804,-112.26603145467294
3338,420 Page Wl,active,260847,2,3,3840,33.37349262271541,-111.94447545186424
3339,688 2nd Trl,sold,241695,5,3,1979,33.575210558204766,-112.27936735954756
3340,398 3rd Vis,pending,176199,3,3,3932,33.382718200491624,-111.99383528380372
3341,157 4th St,pending,231537,2,2,1196,33.42958341881069,-111.9380207994004
3342,279 Pine Rd,active,148898,2,1,1118,33.3610465912959,-111.95883527802376
3343,496 Indiana Wl,active,255201,5,3,3338,33.495687812405414,-112.29515837791898
3344,438 Turk Dv,pending,133286,3,1,1737,33.54707840034511,-112.17173264970143
3345,568 3rd Ave,sold,160620,2,1,1744,33.56006059439123,-112.00769861205823
3346,755 Turk Cir,sold,212561,3,3,3736,33.40664371832047,-112.0607325543747
3347,238 Wall Dv,pending,145169,4,3,3299,33.435577854693825,-111.87510037843755
3348,535 1st Cir,pending,246507,3,1,1115,33.567878994752355,-112.32089350529421
3349,399 Post Blvd,sold,109068,5,2,1475,33.37004151692189,-112.28969761055504
3350,637 2nd Dv,sold,260196,5,1,1951,33.407247554692354,-112.06120188186401
3351,719 Turk St,pending,196601,4,2,2280,33.402351091431136,-112.27217397257824
3352,376 Blake Pl,sold,186465,5,1,1816,33.56114001136392,-112.19348406640876
3353,202 Wall Vis,pending,269163,5,2,2959,33.59365477787889,-112.25366503903462
3354,778 9th Wl,pending,263417,3,1,2136,33.49189367778004,-112.1128079787103
3355,499 Bush Dv,pending,274570,3,1,3654,33.49221177161875,-112.07172353423198
3356,328 9th Rd,active,255103,3,1,2015,33.477851924033395,-111.95801152064355
3357,77 5th Trl,pending,197080,2,1,1530,33.44266427207951,-112.34056806514813
3358,490 Post St,pending,160848,5,1,1827,33.59192111673155,-112.11181281219739
3359,662 7th Vis,pending,203784,2,3,1093,33.49482835942657,-112.1865422102383
3360,719 5th St,pending,137948,4,1,1501,33.5852263424001,-111.88850274024848
3361,692 4th Dv,active,200900,5,3,2267,33.441781042164074,-112.0276988194324
3362,265 6th Ave,pending,225781,3,3,1588,33.41005144975669,-111.97167369952231
3363,268 Walnut Way,sold,297179,4,2,3008,33.46763480094069,-112.01541362371171
3364,287 Page Dv,pending,114950,5,3,3852,33.521591817657175,-112.23017561725814
3365,711 9th Blvd,active,298616,4,3,3170,33.395632254750254,-112.08792538032581
3366,62 7th Trl,sold,177133,2,1,1525,33.362754415686126,-112.2621168800228
3367,324 Euclid Wl,active,281305,4,2,2760,33.43607318684686,-112.1145038243919
3368,531 Blake Wl,pending,288140,4,1,1692,33.36898223569553,-112.19479198376965
